PAGE N°;JUZ;"ROUB' /
QUARTER";SURAH;"STARTING 
AT VERSE";"ENDING 
AT VERSE";;;;;;;;;;;;;;;;;;;;
88;4;1;;;;;;;;;;;;;;;;;;;;;;;
89;4;1;;;;;;;;;;;;;;;;;;;;;;;
90;4;1;;;;;;;;;;;;;;;;;;;;;;;
91;4;1;;;;;;;;;;;;;;;;;;;;;;;
92;4;2;;;;;;;;;;;;;;;;;;;;;;;
93;4;2;;;;;;;;;;;;;;;;;;;;;;;
94;4;2;;;;;;;;;;;;;;;;;;;;;;;
95;4;2;;;;;;;;;;;;;;;;;;;;;;;
96;4;2;;;;;;;;;;;;;;;;;;;;;;;
97;4;2;;;;;;;;;;;;;;;;;;;;;;;
98;4;2;;;;;;;;;;;;;;;;;;;;;;;
99;4;2;;;;;;;;;;;;;;;;;;;;;;;
100;4;3;;;;;;;;;;;;;;;;;;;;;;;
101;4;3;;;;;;;;;;;;;;;;;;;;;;;
102;4;3;;;;;;;;;;;;;;;;;;;;;;;
103;4;3;;;;;;;;;;;;;;;;;;;;;;;
104;4;3;;;;;;;;;;;;;;;;;;;;;;;
105;4;3;;;;;;;;;;;;;;;;;;;;;;;
106;4;4;;;;;;;;;;;;;;;;;;;;;;;
107;4;4;;;;;;;;;;;;;;;;;;;;;;;
108;4;4;;;;;;;;;;;;;;;;;;;;;;;
109;4;4;;;;;;;;;;;;;;;;;;;;;;;
110;4;4;;;;;;;;;;;;;;;;;;;;;;;
111;4;4;;;;;;;;;;;;;;;;;;;;;;;
112;4;4;;;;;;;;;;;;;;;;;;;;;;;
113;5;1;;;;;;;;;;;;;;;;;;;;;;;
114;5;1;;;;;;;;;;;;;;;;;;;;;;;
115;5;1;;;;;;;;;;;;;;;;;;;;;;;
116;5;1;;;;;;;;;;;;;;;;;;;;;;;
117;5;1;;;;;;;;;;;;;;;;;;;;;;;
118;5;1;;;;;;;;;;;;;;;;;;;;;;;
119;5;1;;;;;;;;;;;;;;;;;;;;;;;
120;5;1;;;;;;;;;;;;;;;;;;;;;;;
121;5;2;;;;;;;;;;;;;;;;;;;;;;;
122;5;2;;;;;;;;;;;;;;;;;;;;;;;
123;5;2;;;;;;;;;;;;;;;;;;;;;;;
124;5;2;;;;;;;;;;;;;;;;;;;;;;;
125;5;2;;;;;;;;;;;;;;;;;;;;;;;
126;5;2;;;;;;;;;;;;;;;;;;;;;;;
127;5;3;;;;;;;;;;;;;;;;;;;;;;;
128;5;3;;;;;;;;;;;;;;;;;;;;;;;
129;5;3;;;;;;;;;;;;;;;;;;;;;;;
130;5;3;;;;;;;;;;;;;;;;;;;;;;;
131;5;3;;;;;;;;;;;;;;;;;;;;;;;
132;5;3;;;;;;;;;;;;;;;;;;;;;;;
133;5;3;;;;;;;;;;;;;;;;;;;;;;;
134;5;4;;;;;;;;;;;;;;;;;;;;;;;
135;5;4;;;;;;;;;;;;;;;;;;;;;;;
136;5;4;;;;;;;;;;;;;;;;;;;;;;;
137;5;4;;;;;;;;;;;;;;;;;;;;;;;
138;5;4;;;;;;;;;;;;;;;;;;;;;;;
139;5;4;;;;;;;;;;;;;;;;;;;;;;;
140;5;4;;;;;;;;;;;;;;;;;;;;;;;
141;6;1;;;;;;;;;;;;;;;;;;;;;;;
142;6;1;;;;;;;;;;;;;;;;;;;;;;;
143;6;1;;;;;;;;;;;;;;;;;;;;;;;
144;6;1;;;;;;;;;;;;;;;;;;;;;;;
145;6;1;;;;;;;;;;;;;;;;;;;;;;;
146;6;1;;;;;;;;;;;;;;;;;;;;;;;
147;6;1;;;;;;;;;;;;;;;;;;;;;;;
148;6;1;;;;;;;;;;;;;;;;;;;;;;;
149;6;2;;;;;;;;;;;;;;;;;;;;;;;
150;6;2;;;;;;;;;;;;;;;;;;;;;;;
151;6;2;;;;;;;;;;;;;;;;;;;;;;;
152;6;2;;;;;;;;;;;;;;;;;;;;;;;
153;6;2;;;;;;;;;;;;;;;;;;;;;;;
154;6;2;;;;;;;;;;;;;;;;;;;;;;;
155;6;2;;;;;;;;;;;;;;;;;;;;;;;
156;6;3;;;;;;;;;;;;;;;;;;;;;;;
157;6;3;;;;;;;;;;;;;;;;;;;;;;;
158;6;3;;;;;;;;;;;;;;;;;;;;;;;
159;6;3;;;;;;;;;;;;;;;;;;;;;;;
160;6;3;;;;;;;;;;;;;;;;;;;;;;;
161;6;3;;;;;;;;;;;;;;;;;;;;;;;
162;6;4;;;;;;;;;;;;;;;;;;;;;;;
163;6;4;;;;;;;;;;;;;;;;;;;;;;;
164;6;4;;;;;;;;;;;;;;;;;;;;;;;
165;6;4;;;;;;;;;;;;;;;;;;;;;;;
166;6;4;;;;;;;;;;;;;;;;;;;;;;;
167;6;4;;;;;;;;;;;;;;;;;;;;;;;
168;6;4;;;;;;;;;;;;;;;;;;;;;;;
169;7;1;;;;;;;;;;;;;;;;;;;;;;;
170;7;1;;;;;;;;;;;;;;;;;;;;;;;
171;7;1;;;;;;;;;;;;;;;;;;;;;;;
172;7;1;;;;;;;;;;;;;;;;;;;;;;;
173;7;1;;;;;;;;;;;;;;;;;;;;;;;
174;7;1;;;;;;;;;;;;;;;;;;;;;;;
175;7;1;;;;;;;;;;;;;;;;;;;;;;;
176;7;2;;;;;;;;;;;;;;;;;;;;;;;
177;7;2;;;;;;;;;;;;;;;;;;;;;;;
178;7;2;;;;;;;;;;;;;;;;;;;;;;;
179;7;2;;;;;;;;;;;;;;;;;;;;;;;
180;7;2;;;;;;;;;;;;;;;;;;;;;;;
181;7;2;;;;;;;;;;;;;;;;;;;;;;;
182;7;2;;;;;;;;;;;;;;;;;;;;;;;
183;7;2;;;;;;;;;;;;;;;;;;;;;;;
184;7;3;;;;;;;;;;;;;;;;;;;;;;;
185;7;3;;;;;;;;;;;;;;;;;;;;;;;
186;7;3;;;;;;;;;;;;;;;;;;;;;;;
187;7;3;;;;;;;;;;;;;;;;;;;;;;;
188;7;3;;;;;;;;;;;;;;;;;;;;;;;
189;7;3;;;;;;;;;;;;;;;;;;;;;;;
190;7;3;;;;;;;;;;;;;;;;;;;;;;;
191;7;4;;;;;;;;;;;;;;;;;;;;;;;
192;7;4;;;;;;;;;;;;;;;;;;;;;;;
193;7;4;;;;;;;;;;;;;;;;;;;;;;;
194;7;4;;;;;;;;;;;;;;;;;;;;;;;
195;7;4;;;;;;;;;;;;;;;;;;;;;;;
196;7;4;;;;;;;;;;;;;;;;;;;;;;;
197;8;1;;;;;;;;;;;;;;;;;;;;;;;
198;8;1;;;;;;;;;;;;;;;;;;;;;;;
199;8;1;;;;;;;;;;;;;;;;;;;;;;;
200;8;1;;;;;;;;;;;;;;;;;;;;;;;
201;8;1;;;;;;;;;;;;;;;;;;;;;;;
202;8;2;;;;;;;;;;;;;;;;;;;;;;;
203;8;2;;;;;;;;;;;;;;;;;;;;;;;
204;8;2;;;;;;;;;;;;;;;;;;;;;;;
205;8;2;;;;;;;;;;;;;;;;;;;;;;;
206;8;2;;;;;;;;;;;;;;;;;;;;;;;
207;8;2;;;;;;;;;;;;;;;;;;;;;;;
208;8;2;;;;;;;;;;;;;;;;;;;;;;;
209;8;3;;;;;;;;;;;;;;;;;;;;;;;
210;8;3;;;;;;;;;;;;;;;;;;;;;;;
211;8;3;;;;;;;;;;;;;;;;;;;;;;;
212;8;3;;;;;;;;;;;;;;;;;;;;;;;
213;8;3;;;;;;;;;;;;;;;;;;;;;;;
214;8;3;;;;;;;;;;;;;;;;;;;;;;;
215;8;3;;;;;;;;;;;;;;;;;;;;;;;
216;8;3;;;;;;;;;;;;;;;;;;;;;;;
217;8;4;;;;;;;;;;;;;;;;;;;;;;;
218;8;4;;;;;;;;;;;;;;;;;;;;;;;
219;8;4;;;;;;;;;;;;;;;;;;;;;;;
220;8;4;;;;;;;;;;;;;;;;;;;;;;;
221;8;4;;;;;;;;;;;;;;;;;;;;;;;
222;8;4;;;;;;;;;;;;;;;;;;;;;;;
223;8;4;;;;;;;;;;;;;;;;;;;;;;;
224;8;4;;;;;;;;;;;;;;;;;;;;;;;
225;9;1;;;;;;;;;;;;;;;;;;;;;;;
226;9;1;;;;;;;;;;;;;;;;;;;;;;;
227;9;1;;;;;;;;;;;;;;;;;;;;;;;
228;9;1;;;;;;;;;;;;;;;;;;;;;;;
229;9;1;;;;;;;;;;;;;;;;;;;;;;;
230;9;1;;;;;;;;;;;;;;;;;;;;;;;
231;9;1;;;;;;;;;;;;;;;;;;;;;;;
232;9;2;;;;;;;;;;;;;;;;;;;;;;;
233;9;2;;;;;;;;;;;;;;;;;;;;;;;
234;9;2;;;;;;;;;;;;;;;;;;;;;;;
235;9;2;;;;;;;;;;;;;;;;;;;;;;;
236;9;2;;;;;;;;;;;;;;;;;;;;;;;
237;9;2;;;;;;;;;;;;;;;;;;;;;;;
238;9;2;;;;;;;;;;;;;;;;;;;;;;;
239;9;2;;;;;;;;;;;;;;;;;;;;;;;
240;9;3;;;;;;;;;;;;;;;;;;;;;;;
241;9;3;;;;;;;;;;;;;;;;;;;;;;;
242;9;3;;;;;;;;;;;;;;;;;;;;;;;
243;9;3;;;;;;;;;;;;;;;;;;;;;;;
244;9;3;;;;;;;;;;;;;;;;;;;;;;;
245;9;3;;;;;;;;;;;;;;;;;;;;;;;
246;9;4;;;;;;;;;;;;;;;;;;;;;;;
247;9;4;;;;;;;;;;;;;;;;;;;;;;;
248;9;4;;;;;;;;;;;;;;;;;;;;;;;
249;9;4;;;;;;;;;;;;;;;;;;;;;;;
250;9;4;;;;;;;;;;;;;;;;;;;;;;;
251;9;4;;;;;;;;;;;;;;;;;;;;;;;
252;9;4;;;;;;;;;;;;;;;;;;;;;;;
253;10;1;;;;;;;;;;;;;;;;;;;;;;;
254;10;1;;;;;;;;;;;;;;;;;;;;;;;
255;10;1;;;;;;;;;;;;;;;;;;;;;;;
256;10;1;;;;;;;;;;;;;;;;;;;;;;;
257;10;1;;;;;;;;;;;;;;;;;;;;;;;
258;10;1;;;;;;;;;;;;;;;;;;;;;;;
259;10;1;;;;;;;;;;;;;;;;;;;;;;;
260;10;2;;;;;;;;;;;;;;;;;;;;;;;
261;10;2;;;;;;;;;;;;;;;;;;;;;;;
262;10;2;;;;;;;;;;;;;;;;;;;;;;;
263;10;2;;;;;;;;;;;;;;;;;;;;;;;
264;10;2;;;;;;;;;;;;;;;;;;;;;;;
265;10;2;;;;;;;;;;;;;;;;;;;;;;;
266;10;2;;;;;;;;;;;;;;;;;;;;;;;
267;10;2;;;;;;;;;;;;;;;;;;;;;;;
268;10;3;;;;;;;;;;;;;;;;;;;;;;;
269;10;3;;;;;;;;;;;;;;;;;;;;;;;
270;10;3;;;;;;;;;;;;;;;;;;;;;;;
271;10;3;;;;;;;;;;;;;;;;;;;;;;;
272;10;3;;;;;;;;;;;;;;;;;;;;;;;
273;10;3;;;;;;;;;;;;;;;;;;;;;;;
274;10;4;;;;;;;;;;;;;;;;;;;;;;;
275;10;4;;;;;;;;;;;;;;;;;;;;;;;
276;10;4;;;;;;;;;;;;;;;;;;;;;;;
277;10;4;;;;;;;;;;;;;;;;;;;;;;;
278;10;4;;;;;;;;;;;;;;;;;;;;;;;
279;10;4;;;;;;;;;;;;;;;;;;;;;;;
280;10;4;;;;;;;;;;;;;;;;;;;;;;;
281;11;1;;;;;;;;;;;;;;;;;;;;;;;
282;11;1;;;;;;;;;;;;;;;;;;;;;;;
283;11;1;;;;;;;;;;;;;;;;;;;;;;;
284;11;1;;;;;;;;;;;;;;;;;;;;;;;
285;11;1;;;;;;;;;;;;;;;;;;;;;;;
286;11;1;;;;;;;;;;;;;;;;;;;;;;;
287;11;1;;;;;;;;;;;;;;;;;;;;;;;
288;11;2;;;;;;;;;;;;;;;;;;;;;;;
289;11;2;;;;;;;;;;;;;;;;;;;;;;;
290;11;2;;;;;;;;;;;;;;;;;;;;;;;
291;11;2;;;;;;;;;;;;;;;;;;;;;;;
292;11;2;;;;;;;;;;;;;;;;;;;;;;;
293;11;2;;;;;;;;;;;;;;;;;;;;;;;
294;11;2;;;;;;;;;;;;;;;;;;;;;;;
295;11;3;;;;;;;;;;;;;;;;;;;;;;;
296;11;3;;;;;;;;;;;;;;;;;;;;;;;
297;11;3;;;;;;;;;;;;;;;;;;;;;;;
298;11;3;;;;;;;;;;;;;;;;;;;;;;;
299;11;3;;;;;;;;;;;;;;;;;;;;;;;
300;11;3;;;;;;;;;;;;;;;;;;;;;;;
301;11;4;;;;;;;;;;;;;;;;;;;;;;;
302;11;4;;;;;;;;;;;;;;;;;;;;;;;
303;11;4;;;;;;;;;;;;;;;;;;;;;;;
304;11;4;;;;;;;;;;;;;;;;;;;;;;;
305;11;4;;;;;;;;;;;;;;;;;;;;;;;
306;11;4;;;;;;;;;;;;;;;;;;;;;;;
307;11;4;;;;;;;;;;;;;;;;;;;;;;;
308;11;4;;;;;;;;;;;;;;;;;;;;;;;
309;12;1;;;;;;;;;;;;;;;;;;;;;;;
310;12;1;;;;;;;;;;;;;;;;;;;;;;;
311;12;1;;;;;;;;;;;;;;;;;;;;;;;
312;12;1;;;;;;;;;;;;;;;;;;;;;;;
313;12;1;;;;;;;;;;;;;;;;;;;;;;;
314;12;1;;;;;;;;;;;;;;;;;;;;;;;
315;12;1;;;;;;;;;;;;;;;;;;;;;;;
316;12;2;;;;;;;;;;;;;;;;;;;;;;;
317;12;2;;;;;;;;;;;;;;;;;;;;;;;
318;12;2;;;;;;;;;;;;;;;;;;;;;;;
319;12;2;;;;;;;;;;;;;;;;;;;;;;;
320;12;2;;;;;;;;;;;;;;;;;;;;;;;
321;12;2;;;;;;;;;;;;;;;;;;;;;;;
322;12;3;;;;;;;;;;;;;;;;;;;;;;;
323;12;3;;;;;;;;;;;;;;;;;;;;;;;
324;12;3;;;;;;;;;;;;;;;;;;;;;;;
325;12;3;;;;;;;;;;;;;;;;;;;;;;;
326;12;3;;;;;;;;;;;;;;;;;;;;;;;
327;12;3;;;;;;;;;;;;;;;;;;;;;;;
328;12;3;;;;;;;;;;;;;;;;;;;;;;;
329;12;3;;;;;;;;;;;;;;;;;;;;;;;
330;12;3;;;;;;;;;;;;;;;;;;;;;;;
331;12;4;;;;;;;;;;;;;;;;;;;;;;;
332;12;4;;;;;;;;;;;;;;;;;;;;;;;
333;12;4;;;;;;;;;;;;;;;;;;;;;;;
334;12;4;;;;;;;;;;;;;;;;;;;;;;;
335;12;4;;;;;;;;;;;;;;;;;;;;;;;
336;12;4;;;;;;;;;;;;;;;;;;;;;;;
337;13;1;;;;;;;;;;;;;;;;;;;;;;;
338;13;1;;;;;;;;;;;;;;;;;;;;;;;
339;13;1;;;;;;;;;;;;;;;;;;;;;;;
340;13;1;;;;;;;;;;;;;;;;;;;;;;;
341;13;1;;;;;;;;;;;;;;;;;;;;;;;
342;13;1;;;;;;;;;;;;;;;;;;;;;;;
343;13;1;;;;;;;;;;;;;;;;;;;;;;;
344;13;1;;;;;;;;;;;;;;;;;;;;;;;
345;13;2;;;;;;;;;;;;;;;;;;;;;;;
346;13;2;;;;;;;;;;;;;;;;;;;;;;;
347;13;2;;;;;;;;;;;;;;;;;;;;;;;
348;13;2;;;;;;;;;;;;;;;;;;;;;;;
349;13;2;;;;;;;;;;;;;;;;;;;;;;;
350;13;2;;;;;;;;;;;;;;;;;;;;;;;
351;13;3;;;;;;;;;;;;;;;;;;;;;;;
352;13;3;;;;;;;;;;;;;;;;;;;;;;;
353;13;3;;;;;;;;;;;;;;;;;;;;;;;
354;13;3;;;;;;;;;;;;;;;;;;;;;;;
355;13;3;;;;;;;;;;;;;;;;;;;;;;;
356;13;3;;;;;;;;;;;;;;;;;;;;;;;
357;13;3;;;;;;;;;;;;;;;;;;;;;;;
358;13;4;;;;;;;;;;;;;;;;;;;;;;;
359;13;4;;;;;;;;;;;;;;;;;;;;;;;
360;13;4;;;;;;;;;;;;;;;;;;;;;;;
361;13;4;;;;;;;;;;;;;;;;;;;;;;;
362;13;4;;;;;;;;;;;;;;;;;;;;;;;
363;13;4;;;;;;;;;;;;;;;;;;;;;;;
364;13;4;;;;;;;;;;;;;;;;;;;;;;;
365;14;1;;;;;;;;;;;;;;;;;;;;;;;
366;14;1;;;;;;;;;;;;;;;;;;;;;;;
367;14;1;;;;;;;;;;;;;;;;;;;;;;;
368;14;1;;;;;;;;;;;;;;;;;;;;;;;
369;14;1;;;;;;;;;;;;;;;;;;;;;;;
370;14;1;;;;;;;;;;;;;;;;;;;;;;;
371;14;1;;;;;;;;;;;;;;;;;;;;;;;
372;14;2;;;;;;;;;;;;;;;;;;;;;;;
373;14;2;;;;;;;;;;;;;;;;;;;;;;;
374;14;2;;;;;;;;;;;;;;;;;;;;;;;
375;14;2;;;;;;;;;;;;;;;;;;;;;;;
376;14;2;;;;;;;;;;;;;;;;;;;;;;;
377;14;2;;;;;;;;;;;;;;;;;;;;;;;
378;14;2;;;;;;;;;;;;;;;;;;;;;;;
379;14;3;;;;;;;;;;;;;;;;;;;;;;;
380;14;3;;;;;;;;;;;;;;;;;;;;;;;
381;14;3;;;;;;;;;;;;;;;;;;;;;;;
382;14;3;;;;;;;;;;;;;;;;;;;;;;;
383;14;3;;;;;;;;;;;;;;;;;;;;;;;
384;14;3;;;;;;;;;;;;;;;;;;;;;;;
385;14;3;;;;;;;;;;;;;;;;;;;;;;;
386;14;4;;;;;;;;;;;;;;;;;;;;;;;
387;14;4;;;;;;;;;;;;;;;;;;;;;;;
388;14;4;;;;;;;;;;;;;;;;;;;;;;;
389;14;4;;;;;;;;;;;;;;;;;;;;;;;
390;14;4;;;;;;;;;;;;;;;;;;;;;;;
391;14;4;;;;;;;;;;;;;;;;;;;;;;;
392;14;4;;;;;;;;;;;;;;;;;;;;;;;
393;15;1;;;;;;;;;;;;;;;;;;;;;;;
394;15;1;;;;;;;;;;;;;;;;;;;;;;;
395;15;1;;;;;;;;;;;;;;;;;;;;;;;
396;15;1;;;;;;;;;;;;;;;;;;;;;;;
397;15;1;;;;;;;;;;;;;;;;;;;;;;;
398;15;1;;;;;;;;;;;;;;;;;;;;;;;
399;15;1;;;;;;;;;;;;;;;;;;;;;;;
400;15;2;;;;;;;;;;;;;;;;;;;;;;;
401;15;2;;;;;;;;;;;;;;;;;;;;;;;
402;15;2;;;;;;;;;;;;;;;;;;;;;;;
403;15;2;;;;;;;;;;;;;;;;;;;;;;;
404;15;2;;;;;;;;;;;;;;;;;;;;;;;
405;15;2;;;;;;;;;;;;;;;;;;;;;;;
406;15;2;;;;;;;;;;;;;;;;;;;;;;;
407;15;3;;;;;;;;;;;;;;;;;;;;;;;
408;15;3;;;;;;;;;;;;;;;;;;;;;;;
409;15;3;;;;;;;;;;;;;;;;;;;;;;;
410;15;3;;;;;;;;;;;;;;;;;;;;;;;
411;15;3;;;;;;;;;;;;;;;;;;;;;;;
412;15;3;;;;;;;;;;;;;;;;;;;;;;;
413;15;3;;;;;;;;;;;;;;;;;;;;;;;
414;15;4;;;;;;;;;;;;;;;;;;;;;;;
415;15;4;;;;;;;;;;;;;;;;;;;;;;;
416;15;4;;;;;;;;;;;;;;;;;;;;;;;
417;15;4;;;;;;;;;;;;;;;;;;;;;;;
418;15;4;;;;;;;;;;;;;;;;;;;;;;;
419;15;4;;;;;;;;;;;;;;;;;;;;;;;
420;15;4;;;;;;;;;;;;;;;;;;;;;;;
421;16;1;;;;;;;;;;;;;;;;;;;;;;;
422;16;1;;;;;;;;;;;;;;;;;;;;;;;
423;16;1;;;;;;;;;;;;;;;;;;;;;;;
424;16;1;;;;;;;;;;;;;;;;;;;;;;;
425;16;1;;;;;;;;;;;;;;;;;;;;;;;
426;16;1;;;;;;;;;;;;;;;;;;;;;;;
427;16;1;;;;;;;;;;;;;;;;;;;;;;;
428;16;1;;;;;;;;;;;;;;;;;;;;;;;
429;16;2;;;;;;;;;;;;;;;;;;;;;;;
430;16;2;;;;;;;;;;;;;;;;;;;;;;;
431;16;2;;;;;;;;;;;;;;;;;;;;;;;
432;16;2;;;;;;;;;;;;;;;;;;;;;;;
433;16;2;;;;;;;;;;;;;;;;;;;;;;;
434;16;2;;;;;;;;;;;;;;;;;;;;;;;
435;16;3;;;;;;;;;;;;;;;;;;;;;;;
436;16;3;;;;;;;;;;;;;;;;;;;;;;;
437;16;3;;;;;;;;;;;;;;;;;;;;;;;
438;16;3;;;;;;;;;;;;;;;;;;;;;;;
439;16;3;;;;;;;;;;;;;;;;;;;;;;;
440;16;3;;;;;;;;;;;;;;;;;;;;;;;
441;16;4;;;;;;;;;;;;;;;;;;;;;;;
442;16;4;;;;;;;;;;;;;;;;;;;;;;;
443;16;4;;;;;;;;;;;;;;;;;;;;;;;
444;16;4;;;;;;;;;;;;;;;;;;;;;;;
445;16;4;;;;;;;;;;;;;;;;;;;;;;;
446;16;4;;;;;;;;;;;;;;;;;;;;;;;
447;16;4;;;;;;;;;;;;;;;;;;;;;;;
448;16;4;;;;;;;;;;;;;;;;;;;;;;;
449;17;1;;;;;;;;;;;;;;;;;;;;;;;
450;17;1;;;;;;;;;;;;;;;;;;;;;;;
451;17;1;;;;;;;;;;;;;;;;;;;;;;;
452;17;1;;;;;;;;;;;;;;;;;;;;;;;
453;17;1;;;;;;;;;;;;;;;;;;;;;;;
454;17;1;;;;;;;;;;;;;;;;;;;;;;;
455;17;2;;;;;;;;;;;;;;;;;;;;;;;
456;17;2;;;;;;;;;;;;;;;;;;;;;;;
457;17;2;;;;;;;;;;;;;;;;;;;;;;;
458;17;2;;;;;;;;;;;;;;;;;;;;;;;
459;17;2;;;;;;;;;;;;;;;;;;;;;;;
460;17;2;;;;;;;;;;;;;;;;;;;;;;;
461;17;2;;;;;;;;;;;;;;;;;;;;;;;
462;17;3;;;;;;;;;;;;;;;;;;;;;;;
463;17;3;;;;;;;;;;;;;;;;;;;;;;;
464;17;3;;;;;;;;;;;;;;;;;;;;;;;
465;17;3;;;;;;;;;;;;;;;;;;;;;;;
466;17;3;;;;;;;;;;;;;;;;;;;;;;;
467;17;3;;;;;;;;;;;;;;;;;;;;;;;
468;17;3;;;;;;;;;;;;;;;;;;;;;;;
469;17;4;;;;;;;;;;;;;;;;;;;;;;;
470;17;4;;;;;;;;;;;;;;;;;;;;;;;
471;17;4;;;;;;;;;;;;;;;;;;;;;;;
472;17;4;;;;;;;;;;;;;;;;;;;;;;;
473;17;4;;;;;;;;;;;;;;;;;;;;;;;
474;17;4;;;;;;;;;;;;;;;;;;;;;;;
475;17;4;;;;;;;;;;;;;;;;;;;;;;;
476;17;4;;;;;;;;;;;;;;;;;;;;;;;
477;18;1;;;;;;;;;;;;;;;;;;;;;;;
